planner_type, total_time, solved, process_time, path_simplify_time, path_simplify_smoothness, path_simplify_length, path_simplify_correct, path_simplify_clearance, path_plan_time, path_plan_smoothness, path_plan_length, path_plan_correct, path_plan_clearance, path_interpolate_time, path_interpolate_smoothness, path_interpolate_length, path_interpolate_correct, path_interpolate_clearance, goal_name
right_arm_RRT, 0.167519631, 1, 0.017440171, 0.007682, 0.0, 6.37276154913, 0, 0.102841548622, 0.142285, 7.1302307749, 10.0237984242, 0, 0.10072861705, 0.00011246, 1.35693924742e-15, 6.37276154913, 0, 0.107646097326, tabletop.tabletop_02
right_arm_RRT, 0.122436192, 1, 0.016469849, 0.007733, 0.0, 7.62865500672, 0, 0.139022544026, 0.098134, 3.46302110264, 17.0672853759, 0, 0.133979049325, 9.9343e-05, 5.55111512313e-17, 7.62865500672, 0, 0.137622370385, tabletop.tabletop_02
right_arm_RRT, 0.520807083, 1, 0.029100727, 0.166907, 0.262011768963, 9.66876794891, 0, 0.126265377371, 0.324757, 4.77528833113, 15.322183629, 0, 0.109899185598, 4.2356e-05, 0.205866389899, 9.66876794891, 0, 0.117868263363, tabletop.tabletop_03
right_arm_RRT, 1.741017105, 1, 0.04182873, 0.186974, 0.187119095991, 11.9347469486, 0, 0.0780269980279, 1.512168, 8.72503465796, 30.7371073515, 0, 0.0948687771128, 4.6375e-05, 0.160856766729, 11.9347469486, 0, 0.0865877764136, tabletop.tabletop_03
right_arm_RRT, 0.324026875, 1, 0.038515062, 0.168846, 0.247480986268, 12.3477808416, 0, 0.0979776937515, 0.116614, 5.9495211693, 17.6941208114, 0, 0.134331300855, 5.1813e-05, 0.206234155223, 12.3477808416, 0, 0.100929218758, tabletop.tabletop_03
right_arm_RRT, 0.056296634, 1, 0.020700913, 0.007687, 0.0, 7.03947834598, 0, 0.0991431176662, 0.027797, 1.70390114099, 8.32752233118, 0, 0.0984359507759, 0.000111721, 1.06087977365e-15, 7.03947834598, 0, 0.0930543622623, tabletop.tabletop_04
right_arm_RRT, 0.126553019, 1, 0.016810096, 0.005993, 0.0, 7.26128442272, 0, 0.121883220971, 0.103647, 3.73784723228, 10.204426724, 0, 0.115585293621, 0.000102923, 1.99167282194e-15, 7.26128442272, 0, 0.107738955906, tabletop.tabletop_04
right_arm_RRT, 0.333604134, 1, 0.01792919, 0.007681, 0.0, 7.04579777374, 0, 0.0971415452659, 0.307877, 3.73628200565, 10.8062404804, 0, 0.103939838707, 0.000116944, 1.92038578753e-16, 7.04579777374, 0, 0.0916421449668, tabletop.tabletop_04
right_arm_RRT, 5.008818912, 0, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, tabletop.tabletop_05
right_arm_RRT, 0.249150309, 1, 0.031779463, 0.063171, 0.325875256953, 14.7567841037, 0, 0.0908599407054, 0.15402, 5.43677381723, 20.696333781, 0, 0.104603118574, 0.000179846, 0.0578297228695, 14.7567841037, 0, 0.09199114326, tabletop.tabletop_05
right_arm_RRT, 5.00579841, 0, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, tabletop.tabletop_05
right_arm_RRT, 0.110632516, 1, 0.018773596, 0.005999, 0.0, 7.66611355691, 0, 0.11991000548, 0.085756, 0.0291480204343, 7.68669585777, 0, 0.109916771452, 0.00010392, 3.66037165504e-15, 7.66611355691, 0, 0.106202043819, tabletop.tabletop_06
right_arm_RRT, 0.309500971, 1, 0.019440021, 0.006005, 0.0, 7.59816574239, 0, 0.118891850114, 0.28395, 7.11150341495, 19.1490122276, 0, 0.0983703616075, 0.00010595, 1.88401482967e-16, 7.59816574239, 0, 0.105907577231, tabletop.tabletop_06
right_arm_RRT, 0.104944631, 1, 0.017178436, 0.006852, 0.0, 8.06717361522, 0, 0.127362471074, 0.080806, 2.20773937539, 10.6940505217, 0, 0.0895135011524, 0.000108195, 1.01879288699e-15, 8.06717361522, 0, 0.108360586578, tabletop.tabletop_06
right_arm_RRT, 0.50665027, 1, 0.041393769, 0.105756, 0.250140786211, 14.7601129259, 0, 0.0755133028848, 0.359385, 7.25643711936, 23.6659320407, 0, 0.123598111527, 0.000115501, 0.128089840227, 14.7601129259, 0, 0.0779714481614, tabletop.tabletop_07
right_arm_RRT, 3.271660029, 1, 0.037246016, 0.123339, 0.503062921071, 15.3063782155, 0, 0.105611757264, 3.11093, 9.38735020362, 35.3234264854, 0, 0.116394969076, 0.000145013, 0.177469054711, 15.3063782155, 0, 0.100281859845, tabletop.tabletop_07
right_arm_RRT, 0.412487316, 1, 0.040389625, 0.153334, 0.0649702485854, 12.0941247059, 0, 0.0848337589867, 0.218696, 6.63227661421, 23.3285242288, 0, 0.121722788683, 6.7691e-05, 0.0511094837731, 12.0941247059, 0, 0.0773728777797, tabletop.tabletop_07
right_arm_RRT, 0.416774355, 1, 0.021846215, 0.006829, 0.0, 8.26028359683, 0, 0.122439727187, 0.387985, 2.81085731265, 11.5449264535, 0, 0.115854676813, 0.00011414, 1.97372982156e-16, 8.26028359683, 0, 0.107772261939, tabletop.tabletop_08
right_arm_RRT, 0.098395221, 1, 0.01757027, 0.006016, 0.0, 7.48610094235, 0, 0.112485915422, 0.074701, 7.36547391004, 17.0196729727, 0, 0.112485064566, 0.000107951, 1.04491578788e-16, 7.48610094235, 0, 0.101882996366, tabletop.tabletop_08
