planner_type, total_time, solved, process_time, path_simplify_time, path_simplify_smoothness, path_simplify_length, path_simplify_correct, path_simplify_clearance, path_plan_time, path_plan_smoothness, path_plan_length, path_plan_correct, path_plan_clearance, path_interpolate_time, path_interpolate_smoothness, path_interpolate_length, path_interpolate_correct, path_interpolate_clearance, param_max_states_failed, goal_name
right_arm_TRRT, 0.310557928, 1, 0.10123841, 0.007117, 0.0, 5.71786008607, 1, 0.105605784804, 0.202109, 4.7666906825, 9.8498896961, 1, 0.0581791447476, 9.3518e-05, 3.98148946353e-16, 5.71786008607, 1, 0.0941111535348, 11.0, industrial.top_bin_right_01
right_arm_TRRT, 0.430321414, 1, 0.094469179, 0.007097, 0.0, 5.38546318926, 1, 0.0962612144649, 0.328665, 5.7576885049, 10.0269476169, 1, 0.0587699445064, 9.0235e-05, 6.02692499622e-16, 5.38546318926, 1, 0.0858244862674, 21.0, industrial.top_bin_right_01
right_arm_TRRT, 0.251418424, 1, 0.105527371, 0.007166, 0.0, 5.68944207876, 1, 0.105484757572, 0.13863, 3.05229393074, 7.68157457206, 1, 0.0583365159956, 9.5053e-05, 8.57551579714e-16, 5.68944207876, 1, 0.0938414345528, 31.0, industrial.top_bin_right_01
right_arm_TRRT, 0.216487303, 1, 0.111345969, 0.007253, 0.0, 5.71003305067, 1, 0.105675458908, 0.097793, 1.93604672828, 7.34192303687, 1, 0.0729163021527, 9.5334e-05, 5.206563148e-16, 5.71003305067, 1, 0.0942333361198, 41.0, industrial.top_bin_right_01
right_arm_TRRT, 0.523304185, 1, 0.093720674, 0.007109, 0.0, 4.98952508977, 1, 0.0823960490525, 0.422387, 6.03508728144, 9.10236876333, 1, 0.0678503829986, 8.7511e-05, 9.53969411692e-16, 4.98952508977, 1, 0.0735159233488, 51.0, industrial.top_bin_right_01
right_arm_TRRT, 0.253243237, 1, 0.101067393, 0.007119, 0.0, 5.7318065662, 1, 0.105499342084, 0.144962, 2.8161304695, 8.40926812583, 1, 0.0646379794925, 9.4844e-05, 4.59402630334e-16, 5.7318065662, 1, 0.0939587678375, 61.0, industrial.top_bin_right_01
right_arm_TRRT, 0.286708389, 1, 0.095249941, 0.007073, 0.0, 5.72309771907, 1, 0.105551246554, 0.184292, 3.45953676363, 8.75290468522, 1, 0.0488439048999, 9.3448e-05, 3.9814894645e-16, 5.72309771907, 1, 0.0940059757438, 71.0, industrial.top_bin_right_01
right_arm_TRRT, 0.379419968, 1, 0.100000193, 0.007108, 0.0, 5.71369875256, 1, 0.105479139835, 0.272217, 3.4463790724, 10.9688179065, 1, 0.0662687039624, 9.4775e-05, 6.43163684005e-16, 5.71369875256, 1, 0.0939178150789, 81.0, industrial.top_bin_right_01
right_arm_TRRT, 0.310058562, 1, 0.097359003, 0.007054, 0.0, 5.71218982069, 1, 0.105572640896, 0.205535, 3.96237898867, 8.47768663203, 1, 0.101833510523, 0.000110559, 2.45014738409e-16, 5.71218982069, 1, 0.0940769006466, 91.0, industrial.top_bin_right_01
right_arm_TRRT, 0.217767985, 1, 0.095088442, 0.007262, 0.0, 5.7174933765, 1, 0.105371784419, 0.115322, 4.04100755031, 7.38501415448, 1, 0.0684986398979, 9.5543e-05, 4.90029472256e-16, 5.7174933765, 1, 0.093690007925, 1.0, industrial.top_bin_right_01
right_arm_TRRT, 1.335370023, 1, 0.099787902, 0.007126, 0.0, 5.69271868746, 1, 0.105600874871, 1.228364, 3.34138816997, 12.1508476926, 1, 0.0695679160383, 9.2121e-05, 1.10256631647e-15, 5.69271868746, 1, 0.0940776796177, 11.0, industrial.top_bin_right_01
right_arm_TRRT, 0.721652594, 1, 0.096385076, 0.007102, 0.0, 5.71707665052, 1, 0.105380386114, 0.618072, 5.89746470619, 11.2409231853, 1, 0.0660608770559, 9.3518e-05, 5.81909998569e-16, 5.71707665052, 1, 0.0936747519621, 21.0, industrial.top_bin_right_01
right_arm_TRRT, 0.284019009, 1, 0.099327955, 0.007658, 0.0, 5.72902907755, 1, 0.105519860983, 0.176938, 3.86096210629, 11.1119258666, 1, 0.0592434156686, 9.5054e-05, 6.73790524335e-16, 5.72902907755, 1, 0.0939162034413, 31.0, industrial.top_bin_right_01
right_arm_TRRT, 0.168188915, 1, 0.094034032, 0.007105, 0.0, 5.03776981033, 1, 0.083235505037, 0.066963, 2.90327402749, 7.8185816945, 1, 0.0615393873304, 8.6883e-05, 7.56596434875e-16, 5.03776981033, 1, 0.0741159385415, 41.0, industrial.top_bin_right_01
right_arm_TRRT, 0.280565843, 1, 0.099230859, 0.007068, 0.0, 5.71433321912, 1, 0.105657063425, 0.174172, 2.31148070772, 6.70858911976, 1, 0.0528255704452, 9.4984e-05, 4.59402631925e-16, 5.71433321912, 1, 0.0941936299205, 51.0, industrial.top_bin_right_01
right_arm_TRRT, 0.232876963, 1, 0.092892071, 0.007121, 0.0, 5.72799656114, 1, 0.105547331274, 0.132768, 2.05318820781, 7.52186507514, 1, 0.0659763150228, 9.5892e-05, 2.45014736196e-16, 5.72799656114, 1, 0.0940185885491, 61.0, industrial.top_bin_right_01
right_arm_TRRT, 0.445127065, 1, 0.114304849, 0.007138, 0.0, 5.71347952806, 1, 0.105476655066, 0.32359, 2.80212609618, 9.07625573711, 1, 0.0443890097623, 9.4216e-05, 6.12536842567e-16, 5.71347952806, 1, 0.0938970020105, 71.0, industrial.top_bin_right_01
