planner_type, total_time, solved, process_time, path_simplify_time, path_simplify_smoothness, path_simplify_length, path_simplify_correct, path_simplify_clearance, path_plan_time, path_plan_smoothness, path_plan_length, path_plan_correct, path_plan_clearance, path_interpolate_time, path_interpolate_smoothness, path_interpolate_length, path_interpolate_correct, path_interpolate_clearance, param_temp_change_factor, param_max_states_failed, goal_name
right_arm_TRRT, 0.896906234, 1, 0.019317948, 0.007024, 0.0, 5.72629216624, 1, 0.105539534241, 0.87047, 5.08464923256, 8.79182301509, 1, 0.0601066998206, 9.4286e-05, 4.28775788275e-16, 5.72629216624, 1, 0.0939548981601, 30.0, 21.0, industrial.top_bin_right_01
right_arm_TRRT, 0.623872284, 1, 0.0197053, 0.007016, 0.0, 5.70322999707, 1, 0.105436492711, 0.597056, 2.85434728352, 8.1356767432, 1, 0.0731699781922, 9.4984e-05, 7.65671053209e-16, 5.70322999707, 1, 0.0938284507599, 30.0, 31.0, industrial.top_bin_right_01
right_arm_TRRT, 1.765021937, 1, 0.02150814, 0.007017, 0.0, 5.73195621758, 1, 0.105341073126, 1.736403, 5.04668608898, 13.7653840069, 1, 0.0357835132531, 9.3797e-05, 5.81909998801e-16, 5.73195621758, 1, 0.0935931447251, 30.0, 41.0, industrial.top_bin_right_01
right_arm_TRRT, 1.974019673, 1, 0.019396758, 0.007037, 0.0, 5.7173657787, 1, 0.105513080955, 1.947491, 1.12171978023, 7.25454452083, 1, 0.0596864790035, 9.4915e-05, 3.98148946217e-16, 5.7173657787, 1, 0.0938923680063, 30.0, 51.0, industrial.top_bin_right_01
right_arm_TRRT, 2.844714053, 1, 0.019637348, 0.007043, 0.0, 5.71654157971, 1, 0.105325318873, 2.817939, 2.45327345326, 9.33317491861, 1, 0.0647304067388, 9.4705e-05, 4.5940263047e-16, 5.71654157971, 1, 0.0936087570314, 30.0, 61.0, industrial.top_bin_right_01
right_arm_TRRT, 1.506554707, 1, 0.019431443, 0.007039, 0.0, 5.72729806144, 1, 0.105434093624, 1.479989, 1.1830479801, 7.7878785107, 1, 0.0589952243802, 9.5264e-05, 5.51283156783e-16, 5.72729806144, 1, 0.093831813541, 30.0, 71.0, industrial.top_bin_right_01
right_arm_TRRT, 2.01137952, 1, 0.019531584, 0.006983, 0.0, 5.7337894679, 1, 0.105565030128, 1.984771, 1.88926178163, 7.04708341378, 1, 0.0451095553969, 9.3936e-05, 5.20656314315e-16, 5.7337894679, 1, 0.0940111009725, 30.0, 81.0, industrial.top_bin_right_01
right_arm_TRRT, 1.388730996, 1, 0.018950291, 0.007007, 0.0, 5.71079968641, 1, 0.105617400259, 1.362679, 1.32211061607, 6.14614224176, 1, 0.0429199137302, 9.4705e-05, 4.90029473363e-16, 5.71079968641, 1, 0.0941071826322, 30.0, 91.0, industrial.top_bin_right_01
right_arm_TRRT, 0.323640531, 1, 0.018866811, 0.007063, 0.0, 5.15833062591, 1, 0.0889816489071, 0.297623, 3.29381724171, 7.32305532413, 1, 0.042583392933, 8.772e-05, 4.27641463795e-16, 5.15833062591, 1, 0.0790776722133, 40.0, 1.0, industrial.top_bin_right_01
right_arm_TRRT, 0.560275016, 1, 0.019040079, 0.007009, 0.0, 5.71362343963, 1, 0.105486273766, 0.534132, 1.0235959134, 6.88987735431, 1, 0.0657051630657, 9.3937e-05, 3.67522105886e-16, 5.71362343963, 1, 0.0938666105784, 40.0, 11.0, industrial.top_bin_right_01
right_arm_TRRT, 0.887570757, 1, 0.019719611, 0.007011, 0.0, 5.68881961967, 1, 0.105490744114, 0.860746, 2.51497344211, 8.06724122775, 1, 0.0644709960772, 9.4146e-05, 4.90029473596e-16, 5.68881961967, 1, 0.0939080543045, 40.0, 21.0, industrial.top_bin_right_01
right_arm_TRRT, 1.103377673, 1, 0.019732898, 0.007008, 0.0, 5.72892623506, 1, 0.105400066823, 1.076542, 1.07679087642, 7.27317592692, 1, 0.0503267985345, 9.4775e-05, 2.75641578391e-16, 5.72892623506, 1, 0.09374556228, 40.0, 31.0, industrial.top_bin_right_01
right_arm_TRRT, 0.665273075, 1, 0.019265602, 0.007452, 0.0, 5.7029376511, 1, 0.105318509042, 0.63846, 1.68683025878, 7.13990525005, 1, 0.0421979489567, 9.5473e-05, 3.67522105886e-16, 5.7029376511, 1, 0.0936135811539, 40.0, 41.0, industrial.top_bin_right_01
right_arm_TRRT, 1.045615297, 1, 0.019640523, 0.007085, 0.0, 5.72799554482, 1, 0.105469353497, 1.018795, 3.32817731213, 8.22338290163, 1, 0.0767806914325, 9.4774e-05, 1.53134210157e-16, 5.72799554482, 1, 0.0938990745565, 40.0, 51.0, industrial.top_bin_right_01
right_arm_TRRT, 1.743576051, 1, 0.01918374, 0.007062, 0.0, 5.71750437502, 1, 0.105328582227, 1.717234, 1.53366250984, 6.52550999417, 1, 0.0589227694171, 9.6311e-05, 4.28775788275e-16, 5.71750437502, 1, 0.0936123654246, 40.0, 61.0, industrial.top_bin_right_01
right_arm_TRRT, 2.309336889, 1, 0.018499308, 0.006989, 0.0, 5.09730115096, 1, 0.0858782054856, 2.283761, 2.46287781943, 6.90756065177, 1, 0.0418175919489, 8.7581e-05, 9.86864909977e-16, 5.09730115096, 1, 0.0763543818698, 40.0, 71.0, industrial.top_bin_right_01
right_arm_TRRT, 2.74457807, 1, 0.019562622, 0.006991, 0.0, 5.7154637638, 1, 0.105475444347, 2.717931, 3.88784609654, 9.82513852905, 1, 0.0506719345084, 9.3448e-05, 6.43163684237e-16, 5.7154637638, 1, 0.0938540738204, 40.0, 81.0, industrial.top_bin_right_01
right_arm_TRRT, 2.588819502, 1, 0.018991286, 0.007027, 0.0, 5.72396375118, 1, 0.105396490544, 2.562707, 2.38285152614, 7.57016962623, 1, 0.0662757310678, 9.4216e-05, 7.04417366627e-16, 5.72396375118, 1, 0.0936959283105, 40.0, 91.0, industrial.top_bin_right_01
right_arm_TRRT, 0.363615443, 1, 0.019266265, 0.007086, 0.0, 5.7292098821, 1, 0.105666454881, 0.337161, 4.24371300941, 8.14066131599, 1, 0.0414423391145, 0.000102178, 1.83761052215e-16, 5.7292098821, 1, 0.0941754335473, 50.0, 1.0, industrial.top_bin_right_01
right_arm_TRRT, 0.423006587, 1, 0.019265372, 0.007008, 0.0, 5.73769606505, 1, 0.105475265533, 0.396639, 3.7275717207, 8.07880093992, 1, 0.0781789117803, 9.4215e-05, 7.35044208862e-16, 5.73769606505, 1, 0.0938520308199, 50.0, 11.0, industrial.top_bin_right_01
right_arm_TRRT, 1.163823624, 1, 0.018999967, 0.006999, 0.0, 5.71139453684, 1, 0.105379059911, 1.137731, 0.663703375195, 6.80894378618, 1, 0.0588340684772, 9.3657e-05, 3.67522105886e-16, 5.71139453684, 1, 0.093736289904, 50.0, 21.0, industrial.top_bin_right_01
right_arm_TRRT, 1.646047168, 1, 0.018611581, 0.007007, 0.0, 5.70786422146, 1, 0.105453714728, 1.620335, 1.06507896194, 6.51773399862, 1, 0.0470722117461, 9.3587e-05, 5.51283156237e-16, 5.70786422146, 1, 0.0938664759541, 50.0, 31.0, industrial.top_bin_right_01
right_arm_TRRT, 0.977999574, 1, 0.018936009, 0.00697, 0.0, 5.71895567664, 1, 0.105418801308, 0.951999, 0.387641100134, 6.45122646241, 1, 0.0537788862024, 9.4565e-05, 6.12536840355e-16, 5.71895567664, 1, 0.0937749345241, 50.0, 41.0, industrial.top_bin_right_01
right_arm_TRRT, 0.851658372, 1, 0.019189877, 0.006977, 0.0, 5.7028437734, 1, 0.105604182929, 0.825397, 3.3294319323, 8.43059911976, 1, 0.0846318226929, 9.4495e-05, 4.90029473429e-16, 5.7028437734, 1, 0.0941108082389, 50.0, 51.0, industrial.top_bin_right_01
right_arm_TRRT, 1.770716165, 1, 0.018955717, 0.006983, 0.0, 5.73113903509, 1, 0.10546739772, 1.744684, 1.94929451466, 6.76287537761, 1, 0.0505910801955, 9.3448e-05, 3.98148946353e-16, 5.73113903509, 1, 0.0938605062407, 50.0, 61.0, industrial.top_bin_right_01
right_arm_TRRT, 1.699128851, 1, 0.019199356, 0.006992, 0.0, 5.71920150676, 1, 0.105527337641, 1.672843, 0.945759044312, 7.35415531635, 1, 0.057333825777, 9.4495e-05, 5.20656314315e-16, 5.71920150676, 1, 0.093954390236, 50.0, 71.0, industrial.top_bin_right_01
right_arm_TRRT, 3.134611877, 1, 0.018937172, 0.006977, 0.0, 5.70875772367, 1, 0.10548638925, 3.108603, 2.22739192593, 6.28742195159, 1, 0.0473474579101, 9.4705e-05, 5.51283159759e-16, 5.70875772367, 1, 0.0938909680679, 50.0, 81.0, industrial.top_bin_right_01
right_arm_TRRT, 1.378681538, 1, 0.019000113, 0.006982, 0.0, 5.72432428027, 1, 0.105466660112, 1.352605, 1.75603008755, 6.85390044722, 1, 0.0800273755396, 9.4425e-05, 4.90029472256e-16, 5.72432428027, 1, 0.0938412074385, 50.0, 91.0, industrial.top_bin_right_01
right_arm_TRRT, 5.003461542, 0, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 0.0, 1.0, industrial.top_bin_right_01
right_arm_TRRT, 5.004294191, 0, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 0.0, 11.0, industrial.top_bin_right_01
right_arm_TRRT, 5.00558835, 0, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 0.0, 21.0, industrial.top_bin_right_01
right_arm_TRRT, 5.004930512, 0, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 0.0, 31.0, industrial.top_bin_right_01
right_arm_TRRT, 5.003840079, 0, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 0.0, 41.0, industrial.top_bin_right_01
right_arm_TRRT, 5.003932484, 0, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 0.0, 51.0, industrial.top_bin_right_01
right_arm_TRRT, 5.003994015, 0, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 0.0, 61.0, industrial.top_bin_right_01
right_arm_TRRT, 5.004558258, 0, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 0.0, 71.0, industrial.top_bin_right_01
right_arm_TRRT, 5.003995901, 0, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 0.0, 81.0, industrial.top_bin_right_01
right_arm_TRRT, 5.003747405, 0, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 0.0, 91.0, industrial.top_bin_right_01
right_arm_TRRT, 0.370207414, 1, 0.019148223, 0.007043, 0.0, 5.70479197754, 1, 0.105333037674, 0.343924, 3.15160605184, 8.14672301753, 1, 0.0611815132822, 9.2191e-05, 5.51283157965e-16, 5.70479197754, 1, 0.0936539052375, 10.0, 1.0, industrial.top_bin_right_01
right_arm_TRRT, 0.445383243, 1, 0.018710936, 0.007061, 0.0, 5.72076112163, 1, 0.105409856886, 0.419518, 2.84307176542, 7.56309405084, 1, 0.0439121447165, 9.3307e-05, 4.90029472489e-16, 5.72076112163, 1, 0.0937114244905, 10.0, 11.0, industrial.top_bin_right_01
right_arm_TRRT, 1.016418918, 1, 0.01879868, 0.00703, 0.0, 5.709805576, 1, 0.105430424213, 0.990497, 1.74903483747, 6.83534266012, 1, 0.057433858916, 9.3238e-05, 5.51283158031e-16, 5.709805576, 1, 0.0938076461697, 10.0, 21.0, industrial.top_bin_right_01
right_arm_TRRT, 0.917451092, 1, 0.018800505, 0.006984, 0.0, 5.7094026186, 1, 0.105490572751, 0.891573, 2.0779689551, 7.04122891761, 1, 0.0458581272449, 9.3587e-05, 8.88178421051e-16, 5.7094026186, 1, 0.0938829998004, 10.0, 31.0, industrial.top_bin_right_01
right_arm_TRRT, 1.294548979, 1, 0.018828624, 0.006989, 0.0, 5.71007178379, 1, 0.105669956654, 1.268637, 2.01880867424, 6.73592216499, 1, 0.061222772876, 9.4355e-05, 8.57551579249e-16, 5.71007178379, 1, 0.0941911504186, 10.0, 41.0, industrial.top_bin_right_01
right_arm_TRRT, 2.357679704, 1, 0.018762885, 0.00708, 0.0, 5.70980985385, 1, 0.105426743627, 2.331744, 1.08496536425, 7.44540547399, 1, 0.0467797283253, 9.2819e-05, 3.67522105886e-16, 5.70980985385, 1, 0.0938051083478, 10.0, 51.0, industrial.top_bin_right_01
right_arm_TRRT, 1.837597363, 1, 0.018837845, 0.006992, 0.0, 5.72251128344, 1, 0.105574682355, 1.811674, 1.23959674336, 7.80569208903, 1, 0.0439569029364, 9.3518e-05, 6.73790524608e-16, 5.72251128344, 1, 0.0939998028093, 10.0, 61.0, industrial.top_bin_right_01
right_arm_TRRT, 1.688505501, 1, 0.019288006, 0.00702, 0.0, 5.72409360993, 1, 0.105536453426, 1.662103, 2.34598961964, 8.21406762934, 1, 0.0724648406419, 9.4495e-05, 4.59402630334e-16, 5.72409360993, 1, 0.0940152183175, 10.0, 71.0, industrial.top_bin_right_01
