planner_type, total_time, solved, process_time, path_simplify_time, path_simplify_smoothness, path_simplify_length, path_simplify_correct, path_simplify_clearance, path_plan_time, path_plan_smoothness, path_plan_length, path_plan_correct, path_plan_clearance, path_interpolate_time, path_interpolate_smoothness, path_interpolate_length, path_interpolate_correct, path_interpolate_clearance, param_temp_change_factor, param_range, goal_name
right_arm_TRRT, 0.147454783, 1, 0.093097218, 0.007062, 0.0, 5.70083410343, 1, 0.105613131076, 0.047179, 6.01604725264, 11.6598235976, 1, 0.0977245420218, 0.000116565, 7.35044210277e-16, 5.70083410343, 1, 0.0941090686568, 4.0, 400.0, industrial.top_bin_right_01
right_arm_TRRT, 0.14175748, 1, 0.09368201, 0.007043, 0.0, 5.69553937078, 1, 0.105398915708, 0.040918, 5.42753668231, 10.5879616684, 1, 0.0956900219123, 0.00011447, 4.90029473429e-16, 5.69553937078, 1, 0.0937306868105, 4.0, 500.0, industrial.top_bin_right_01
right_arm_TRRT, 0.112426096, 1, 0.102272864, 3e-06, 0.0, 5.7082946233, 1, 0.105503309518, 0.010041, 0.0, 5.7082946233, 1, 0.105503309518, 0.000109232, 6.73790525442e-16, 5.7082946233, 1, 0.0939790575669, 4.0, 600.0, industrial.top_bin_right_01
right_arm_TRRT, 0.131086501, 1, 0.097832387, 3e-06, 0.0, 5.71336337799, 1, 0.105534717441, 0.033143, 0.0, 5.71336337799, 1, 0.105534717441, 0.000108114, 8.26924737877e-16, 5.71336337799, 1, 0.0940220805592, 4.0, 700.0, industrial.top_bin_right_01
right_arm_TRRT, 0.136816626, 1, 0.091733452, 0.00719, 0.0, 5.70449233774, 1, 0.105501744896, 0.03775, 5.76585688732, 11.1050376365, 1, 0.110325942437, 0.000143174, 5.81909999468e-16, 5.70449233774, 1, 0.0939154152212, 4.0, 800.0, industrial.top_bin_right_01
right_arm_TRRT, 0.13638117, 1, 0.099362824, 0.007041, 0.0, 5.70948030103, 1, 0.105485804379, 0.02987, 5.38382196837, 10.642051498, 1, 0.113883038362, 0.000107346, 6.1253684084e-16, 5.70948030103, 1, 0.0939285323538, 4.0, 900.0, industrial.top_bin_right_01
right_arm_TRRT, 0.124357158, 1, 0.09323945, 3e-06, 0.0, 5.69733828163, 1, 0.105515532196, 0.031017, 0.0, 5.69733828163, 1, 0.105515532196, 9.7708e-05, 4.2877578876e-16, 5.69733828163, 1, 0.0938901140772, 4.0, 1000.0, industrial.top_bin_right_01
right_arm_TRRT, 0.296920303, 1, 0.098065179, 0.007027, 0.0, 5.70911303651, 1, 0.105718549341, 0.191733, 2.96677102939, 7.75449137558, 1, 0.0701401946135, 9.5124e-05, 5.51283157965e-16, 5.70911303651, 1, 0.0942762869185, 5.0, 0.0, industrial.top_bin_right_01
right_arm_TRRT, 0.135031282, 1, 0.095339545, 3e-06, 0.0, 5.71185303274, 1, 0.105646587908, 0.039586, 0.0, 5.71185303274, 1, 0.105646587908, 0.000102737, 5.81909999402e-16, 5.71185303274, 1, 0.0941316680662, 5.0, 100.0, industrial.top_bin_right_01
right_arm_TRRT, 0.113406599, 1, 0.103193234, 3e-06, 0.0, 5.73204373077, 1, 0.105421770364, 0.010085, 0.0, 5.73204373077, 1, 0.105421770364, 0.000125365, 2.75641578255e-16, 5.73204373077, 1, 0.0937464946303, 5.0, 200.0, industrial.top_bin_right_01
right_arm_TRRT, 0.114589851, 1, 0.09420387, 4e-06, 0.0, 5.71216784752, 1, 0.105499327183, 0.020246, 0.0, 5.71216784752, 1, 0.105499327183, 0.000135981, 4.59402631925e-16, 5.71216784752, 1, 0.0939349889241, 5.0, 300.0, industrial.top_bin_right_01
right_arm_TRRT, 0.110915432, 1, 0.092268035, 3e-06, 0.0, 5.71203411529, 1, 0.105380486697, 0.018533, 0.0, 5.71203411529, 1, 0.105380486697, 0.000111397, 6.43163684071e-16, 5.71203411529, 1, 0.093711327633, 5.0, 400.0, industrial.top_bin_right_01
right_arm_TRRT, 0.125117867, 1, 0.107920353, 3e-06, 0.0, 5.71641493022, 1, 0.105500675738, 0.017082, 0.0, 5.71641493022, 1, 0.105500675738, 0.000112514, 4.28775788684e-16, 5.71641493022, 1, 0.0939494284063, 5.0, 500.0, industrial.top_bin_right_01
right_arm_TRRT, 0.11972116, 1, 0.103108493, 2e-06, 0.0, 5.70139414483, 1, 0.105572257191, 0.016508, 0.0, 5.70139414483, 1, 0.105572257191, 0.000102667, 4.9002947509e-16, 5.70139414483, 1, 0.0940149462429, 5.0, 600.0, industrial.top_bin_right_01
right_arm_TRRT, 0.348509402, 1, 0.096692682, 0.007104, 0.0, 5.72527665389, 1, 0.105571653694, 0.244581, 3.55309742734, 19.4495193203, 1, 0.130294032395, 0.00013172, 2.75641578391e-16, 5.72527665389, 1, 0.0940776475031, 5.0, 700.0, industrial.top_bin_right_01
right_arm_TRRT, 1.584836313, 1, 0.099428399, 0.007023, 0.0, 5.7245259045, 1, 0.105436310172, 1.47829, 9.08982960938, 22.8457933621, 1, 0.143674831305, 9.4914e-05, 4.28775788412e-16, 5.7245259045, 1, 0.0938437216241, 5.0, 800.0, industrial.top_bin_right_01
right_arm_TRRT, 0.11463455, 1, 0.09980208, 2e-06, 0.0, 5.70569859518, 1, 0.10558116436, 0.014716, 0.0, 5.70569859518, 1, 0.10558116436, 0.00011447, 7.35044211904e-16, 5.70569859518, 1, 0.0939986857361, 5.0, 900.0, industrial.top_bin_right_01
right_arm_TRRT, 0.097857624, 1, 0.087878779, 3e-06, 0.0, 5.72635415615, 1, 0.105574723333, 0.009881, 0.0, 5.72635415615, 1, 0.105574723333, 9.4845e-05, 4.28775788275e-16, 5.72635415615, 1, 0.0940299789453, 5.0, 1000.0, industrial.top_bin_right_01
right_arm_TRRT, 0.289573486, 1, 0.095593877, 0.007136, 0.0, 5.70856491235, 1, 0.105518631637, 0.186729, 1.23239703102, 6.4902229973, 1, 0.0631143565882, 0.000114609, 1.16382000073e-15, 5.70856491235, 1, 0.0939728907984, 6.0, 0.0, industrial.top_bin_right_01
right_arm_TRRT, 0.173612095, 1, 0.105507123, 0.01429, 0.0, 5.70740379207, 1, 0.105324670672, 0.053688, 6.2578949021, 11.7072249903, 1, 0.131189097961, 0.000126972, 3.67522105886e-16, 5.70740379207, 1, 0.0936077591674, 6.0, 100.0, industrial.top_bin_right_01
right_arm_TRRT, 0.144580607, 1, 0.096161245, 0.007089, 0.0, 5.71771042114, 1, 0.105541370809, 0.041208, 5.1674112022, 9.50002956714, 1, 0.0825882703066, 0.000122362, 6.43163682413e-16, 5.71771042114, 1, 0.0940184844979, 6.0, 200.0, industrial.top_bin_right_01
