Experiment tabletop
Running on ros_monster
Starting at 2013-05-01T12:52:47.186730
Goal name tabletop.tabletop_06
10 seconds per run
320.511 seconds spent to collect the data
1 planners
OMPL_right_arm[TRRTkConfigDefault]
0 common properties
25 properties for each run
param_frontier_node_ratio REAL
param_frontier_threshold REAL
param_k_constant REAL
param_max_states_failed REAL
param_min_temperature REAL
param_range REAL
param_temp_change_factor REAL
path_interpolate_clearance REAL
path_interpolate_correct BOOLEAN
path_interpolate_length REAL
path_interpolate_smoothness REAL
path_interpolate_time REAL
path_plan_clearance REAL
path_plan_correct BOOLEAN
path_plan_length REAL
path_plan_smoothness REAL
path_plan_time REAL
path_simplify_clearance REAL
path_simplify_correct BOOLEAN
path_simplify_length REAL
path_simplify_smoothness REAL
path_simplify_time REAL
process_time REAL
solved BOOLEAN
total_time REAL
480 runs
0.10000000000000001; 0.107622; 0.000428155; 1000; 1.0000000000000001e-09; 0.5; 20; 0.09150290975554122; 0; 7.2137409584926298; 1.0855514036212938e-15; 0.00012124500000000001; 0.07724170463488382; 0; 16.464752864066934; 3.8060820233228467; 0.50572799999999996; 0.094961319118738174; 0; 7.2137409584926298; 0; 0.0069170000000000004; 0.12667505600000012; 1; 0.63944130100000007; 
0.050000000000000003; 0.107622; 0.001; 10; 9.9999999999999994e-12; 0.5; 20; 0.10171474516391754; 0; 7.3645042358072734; 1.3061447348531254e-16; 0.00012767; 0.092082176357507706; 0; 11.293328600879628; 2.4214279063075392; 0.20618500000000001; 0.11171518638730049; 0; 7.3645042358072734; 0; 0.0061310000000000002; 0.11898863300000004; 1; 0.33143230300000004; 
0.050000000000000003; 0.20000000000000001; 0.000428155; 1000; 9.9999999999999994e-12; 0.5; 2; 0.10197486684602849; 0; 7.3808101600237457; 1.0449157878825003e-16; 0.00011328300000000001; 0.076958439312875271; 0; 10.841967772222381; 2.353301836278368; 0.724221; 0.1119857057929039; 0; 7.3808101600237457; 0; 0.0060179999999999999; 0.12324690600000009; 1; 0.85359918900000009; 
0.10000000000000001; 0.20000000000000001; 0.000428155; 10; 9.9999999999999994e-12; 0.37; 20; 0.10181516781449318; 0; 7.3600618877563218; 2.8735184203054561e-15; 0.00011447000000000001; 0.068012763033894932; 0; 12.174843443561016; 4.4818558037270675; 0.58256399999999997; 0.11180456727743149; 0; 7.3600618877563209; 0; 0.006051; 0.11702620000000008; 1; 0.70575567000000006; 
0.10000000000000001; 0.20000000000000001; 0.001; 10; 1.0000000000000001e-09; 0.5; 2; 0.1061341380982688; 0; 7.6727936435525264; 1.8840148296669324e-16; 0.00011076800000000001; 0.092453415889073826; 0; 17.239688145140569; 3.2396363879421104; 0.48284500000000002; 0.11997201293706894; 0; 7.672793643552529; 0; 0.0060569999999999999; 0.121839771; 1; 0.61085253900000003; 
0.050000000000000003; 0.107622; 0.000428155; 10; 1.0000000000000001e-09; 0.37; 2; 0.097671551789556235; 0; 7.2676744106544389; 2.5376526277146434e-17; 0.00011747300000000001; 0.11114107258617878; 0; 10.991825794611685; 6.1675859414492882; 0.54316299999999995; 0.10393961891531944; 0; 7.2676744106544398; 0; 0.0074159999999999998; 0.10878522500000004; 1; 0.65948169800000001; 
0.10000000000000001; 0.107622; 0.001; 1000; 9.9999999999999994e-12; 0.37; 2; 0.094924538582563403; 0; 7.2302515047912355; 2.0047455631012068e-15; 0.00013032400000000002; 0.071176597958101939; 0; 12.129630730330499; 4.6649774986944905; 0.46037299999999998; 0.10001960583031178; 0; 7.2302515047912372; 0; 0.0069439999999999997; 0.12021092700000004; 1; 0.58765825100000002; 
0.050000000000000003; 0.20000000000000001; 0.001; 1000; 1.0000000000000001e-09; 0.37; 20; 0.096267314042363841; 0; 7.2393435510665167; 5.0753052554292869e-17; 0.00011928800000000001; 0.082981673069298267; 0; 12.105160152612404; 5.4514141447322091; 0.27127899999999999; 0.10172684490680695; 0; 7.2393435510665158; 0; 0.0069309999999999997; 0.11806706900000005; 1; 0.39639635700000003; 
0.10000000000000001; 0.107622; 0.000428155; 1000; 1.0000000000000001e-09; 0.5; 20; 0.094939403235912323; 0; 7.2323773696495985; 7.6129578831439306e-17; 0.00011796200000000001; 0.094764836132526398; 0; 12.338891401436962; 4.754066886708328; 0.47103299999999998; 0.10002667829394341; 0; 7.2323773696495985; 0; 0.0069199999999999999; 0.12142622300000007; 1; 0.59949718500000004; 
0.050000000000000003; 0.107622; 0.001; 10; 9.9999999999999994e-12; 0.5; 20; 0.1056541030605634; 0; 7.5629959594241951; 5.3828995133340925e-17; 0.00011321200000000001; 0.11459576072437423; 0; 12.405205688420791; 3.8320322018741209; 0.31476199999999999; 0.11826236918568611; 0; 7.5629959594241951; 0; 0.006058; 0.12904007300000001; 1; 0.449973285; 
0.050000000000000003; 0.20000000000000001; 0.000428155; 1000; 9.9999999999999994e-12; 0.5; 2; 0.10795598370688302; 0; 8.1993576224335776; 1.5225915766287861e-16; 0.000121175; 0.10856431149519406; 0; 12.385763793919994; 4.0984258199698003; 0.37144500000000003; 0.12323135137557983; 0; 8.1993576224335811; 0; 0.00694; 0.11839807799999999; 1; 0.49690425300000002; 
0.10000000000000001; 0.20000000000000001; 0.000428155; 10; 9.9999999999999994e-12; 0.37; 20; 0.10833946440149755; 0; 8.0674764964324783; 1.6718652483952159e-15; 0.0001144; 0.094223834574222565; 0; 12.297205694088181; 5.1830430246950643; 0.40428900000000001; 0.12700911611318588; 0; 8.0674764964324766; 0; 0.0069199999999999999; 0.12677624399999998; 1; 0.53809964399999999; 
