Experiment industrial
Running on ros_monster
Starting at 2013-05-01T10:37:49.343047
Goal name industrial.top_bin_left_01
10 seconds per run
712.316 seconds spent to collect the data
1 planners
OMPL_right_arm[TRRTkConfigDefault]
0 common properties
25 properties for each run
param_frontier_node_ratio REAL
param_frontier_threshold REAL
param_k_constant REAL
param_max_states_failed REAL
param_min_temperature REAL
param_range REAL
param_temp_change_factor REAL
path_interpolate_clearance REAL
path_interpolate_correct BOOLEAN
path_interpolate_length REAL
path_interpolate_smoothness REAL
path_interpolate_time REAL
path_plan_clearance REAL
path_plan_correct BOOLEAN
path_plan_length REAL
path_plan_smoothness REAL
path_plan_time REAL
path_simplify_clearance REAL
path_simplify_correct BOOLEAN
path_simplify_length REAL
path_simplify_smoothness REAL
path_simplify_time REAL
process_time REAL
solved BOOLEAN
total_time REAL
160 runs
0.10000000000000001; 0.20000000000000001; 0.000428155; 10; 9.9999999999999994e-12; 0.37; 20; 0.049563670037862134; 1; 7.5370392641545978; 5.7470368623126226e-16; 0.000111397; 0.052992258353957107; 1; 15.938223540236438; 4.827761261534862; 0.73864300000000005; 0.086837111972272396; 1; 7.5370392641545969; 0; 0.0079590000000000008; 0.10211675200000005; 1; 0.84883014900000009; 
0.10000000000000001; 0.20000000000000001; 0.001; 10; 1.0000000000000001e-09; 0.5; 2; 0.049652494764065039; 1; 7.5291110150602103; 3.395976327166053e-16; 0.00010818400000000001; 0.068915078649297357; 1; 15.138354895397137; 4.8763773836188307; 2.8025500000000001; 0.086792008019983768; 1; 7.5291110150602085; 0; 0.00792; 0.10572988900000008; 1; 2.9163080730000002; 
0.050000000000000003; 0.107622; 0.000428155; 10; 1.0000000000000001e-09; 0.37; 2; 0.049465009723516071; 1; 7.5504485423888701; 4.179663176351891e-16; 0.000106019; 0.043730331759434193; 1; 11.843695960879115; 5.1477157833834921; 2.8225539999999998; 0.086691762320697308; 1; 7.5504485423888692; 0; 0.0078659999999999997; 0.10341621000000012; 1; 2.9339422289999999; 
0.10000000000000001; 0.107622; 0.001; 1000; 9.9999999999999994e-12; 0.37; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 0; 10.084366384999999; 
0.050000000000000003; 0.20000000000000001; 0.001; 1000; 1.0000000000000001e-09; 0.37; 20; 0.049512713846257501; 1; 7.5397396951252587; 2.8735184166768759e-16; 0.00010629900000000001; 0.042270013689994813; 1; 13.915529287933763; 4.5690288907780854; 8.1545290000000001; 0.086892158724367619; 1; 7.5397396951252587; 0; 0.0078630000000000002; 0.10158723899999965; 1; 8.2640855379999998; 
0.10000000000000001; 0.107622; 0.000428155; 1000; 1.0000000000000001e-09; 0.5; 20; 0.049501025747946077; 1; 7.5495964778849256; 4.9633500296747109e-16; 0.00010888300000000001; 0.069291741897662476; 1; 11.536173885530383; 3.6608336152795573; 0.30773899999999998; 0.086814522743225098; 1; 7.5495964778849256; 0; 0.0084659999999999996; 0.097033512000000016; 1; 0.41334739500000001; 
0.050000000000000003; 0.107622; 0.001; 10; 9.9999999999999994e-12; 0.5; 20; 0.049511025851482857; 1; 7.5364405202309745; 1.3061447431270888e-16; 0.000107416; 0.064308630244340748; 1; 15.516029456337106; 6.5523637991714372; 2.7941509999999998; 0.086846684105694294; 1; 7.5364405202309737; 0; 0.0083999999999999995; 0.10045001200000007; 1; 2.9031084279999999; 
0.050000000000000003; 0.20000000000000001; 0.000428155; 1000; 9.9999999999999994e-12; 0.5; 2; 0.049647027708809167; 1; 7.5445105286481509; 2.089831588175946e-16; 0.000106088; 0.076281158547652397; 1; 19.167193773936635; 6.0869308257228711; 1.557877; 0.08675235603004694; 1; 7.5445105286481491; 0; 0.008404; 0.10182204800000025; 1; 1.6682091360000002; 
0.10000000000000001; 0.20000000000000001; 0.000428155; 10; 9.9999999999999994e-12; 0.37; 20; 0.049517038057705291; 1; 7.997626381364074; 9.1155153308300599e-16; 2.3257000000000001e-05; 0.049761689314618704; 1; 14.358202645679338; 4.2599232444211328; 0.97310099999999999; 0.047156897977598616; 1; 7.997626381364074; 1.1282266357103377e-15; 0.161084; 0.12153843999999997; 1; 1.255746697; 
0.10000000000000001; 0.20000000000000001; 0.001; 10; 1.0000000000000001e-09; 0.5; 2; 0.049552578040782141; 1; 7.5409220944514121; 3.134747376058446e-16; 0.000110419; 0.070919139124453065; 1; 9.0426876372913494; 1.7659140911323459; 0.15170400000000001; 0.086768893525004387; 1; 7.5409220944514104; 0; 0.0079579999999999998; 0.096868109000000036; 1; 0.25664052800000003; 
