Experiment industrial
Running on ros_monster
Starting at 2013-05-01T02:55:08.797949
Goal name industrial.top_bin_right_01
60 seconds per run
24.6062 seconds spent to collect the data
1 planners
OMPL_right_arm[TRRTkConfigDefault]
0 common properties
25 properties for each run
param_frontier_node_ratio REAL
param_frontier_threshold REAL
param_k_constant REAL
param_max_states_failed REAL
param_min_temperature REAL
param_range REAL
param_temp_change_factor REAL
path_interpolate_clearance REAL
path_interpolate_correct BOOLEAN
path_interpolate_length REAL
path_interpolate_smoothness REAL
path_interpolate_time REAL
path_plan_clearance REAL
path_plan_correct BOOLEAN
path_plan_length REAL
path_plan_smoothness REAL
path_plan_time REAL
path_simplify_clearance REAL
path_simplify_correct BOOLEAN
path_simplify_length REAL
path_simplify_smoothness REAL
path_simplify_time REAL
process_time REAL
solved BOOLEAN
total_time REAL
48 runs
0.10000000000000001; 0.107622; 0.000428155; 1000; 1.0000000000000001e-09; 0.5; 20; 0.093741567741180282; 1; 5.7100994875435109; 3.3689526272092964e-16; 0.00010741700000000001; 0.073273913883086711; 1; 8.1406412593610913; 3.306623064391931; 0.32161200000000001; 0.10541204735636711; 1; 5.7100994875435109; 0; 0.0070109999999999999; 0.096471072000000033; 1; 0.42520148900000004; 
0.050000000000000003; 0.107622; 0.001; 10; 9.9999999999999994e-12; 0.5; 20; 0.094125111298314454; 1; 5.693662163211509; 2.7564157984637776e-16; 9.4565e-05; 0.072844555394517049; 1; 6.5509361056190878; 1.5597061869319828; 0.15815000000000001; 0.10563594475388527; 1; 5.6936621632115099; 0; 0.0070190000000000001; 0.097482694000000022; 1; 0.26274625900000004; 
0.050000000000000003; 0.20000000000000001; 0.000428155; 1000; 9.9999999999999994e-12; 0.5; 2; 0.094099283732216932; 1; 5.7060958614164115; 3.6752210588592913e-16; 9.4705000000000009e-05; 0.070818878943100572; 1; 11.012296836020356; 2.6286374682581113; 0.19264100000000001; 0.10558245331048965; 1; 5.7060958614164115; 0; 0.0070699999999999999; 0.10488031800000003; 1; 0.30468602300000003; 
0.10000000000000001; 0.20000000000000001; 0.000428155; 10; 9.9999999999999994e-12; 0.37; 20; 0.094040187782254717; 1; 5.7271253738836378; 4.9002947239270564e-16; 9.4704000000000007e-05; 0.061805443838238716; 1; 8.832229858108418; 4.895765450662882; 0.20255200000000001; 0.10555701702833176; 1; 5.7271253738836387; 0; 0.0070390000000000001; 0.10409825800000001; 1; 0.31378396200000003; 
0.10000000000000001; 0.20000000000000001; 0.001; 10; 1.0000000000000001e-09; 0.5; 2; 0.093008728376750283; 1; 5.6611491028186745; 3.9814894732320509e-16; 9.4774000000000011e-05; 0.08665015920996666; 1; 8.8393576811598908; 2.8976795358559881; 0.054218000000000002; 0.10433091968297958; 1; 5.6611491028186753; 0; 0.0069940000000000002; 0.096467830000000004; 1; 0.15777460400000001; 
0.050000000000000003; 0.107622; 0.000428155; 10; 1.0000000000000001e-09; 0.37; 2; 0.092030798695210747; 1; 5.6113233592884582; 4.5940263192548054e-16; 9.4915000000000009e-05; 0.065834240844616518; 1; 8.3109190694406614; 3.6132780983089563; 0.100559; 0.10322768054902554; 1; 5.6113233592884573; 0; 0.007064; 0.097223656000000019; 1; 0.20494157100000002; 
0.10000000000000001; 0.107622; 0.001; 1000; 9.9999999999999994e-12; 0.37; 2; 0.093752759540903161; 1; 5.7232267054005428; 3.6752210443085285e-16; 9.4216000000000007e-05; 0.06145482295407699; 1; 8.6034926870289947; 3.7615605151139708; 0.162304; 0.10541390255093575; 1; 5.7232267054005419; 0; 0.0070210000000000003; 0.098936066000000031; 1; 0.26835528200000003; 
0.050000000000000003; 0.20000000000000001; 0.001; 1000; 1.0000000000000001e-09; 0.37; 20; 0.093849899183059554; 1; 5.7208684145316093; 6.4316368254950705e-16; 9.5543000000000003e-05; 0.055060702376067638; 1; 7.113765781295311; 2.3914474385884108; 0.15048700000000001; 0.105436060577631; 1; 5.7208684145316111; 0; 0.0070330000000000002; 0.099939208000000015; 1; 0.25755475100000003; 
0.10000000000000001; 0.107622; 0.000428155; 1000; 1.0000000000000001e-09; 0.5; 20; 0.093851792144364329; 1; 5.7255475039209198; 4.2877578850823618e-16; 9.5124000000000006e-05; 0.083459304852618113; 1; 7.5892918396450693; 2.5613517952485343; 0.15598699999999999; 0.10547405853867531; 1; 5.725547503920918; 0; 0.0070109999999999999; 0.090218141000000016; 1; 0.25331126500000001; 
0.050000000000000003; 0.107622; 0.001; 10; 9.9999999999999994e-12; 0.5; 20; 0.093933514993766259; 1; 5.7137476573062553; 4.2877579055425215e-16; 9.5124000000000006e-05; 0.07902861200273037; 1; 7.2914327950611586; 2.4566010698990048; 0.12676000000000001; 0.10550177469849586; 1; 5.7137476573062553; 0; 0.0070179999999999999; 0.096372212000000013; 1; 0.23024533600000002; 
